48.0,0.0,2,780.0,smallbusiness,0.0,1.0,4.0,4,3.0,7,0,3,4,496950.0,0,1,1,0
30.0,0.0,2,720.0,smallbusiness,1.0,1.0,4.0,2,3.0,4,1,3,3,300000.0,1,1,1,1
25.0,0.0,1,540.0,salaried,1.0,1.0,4.0,1,3.0,1,0,3,1,260000.0,1,0,1,1
21.0,1.0,2,420.0,salaried,0.0,1.0,4.0,1,4.0,1,0,3,3,259875.0,1,0,1,1
41.0,1.0,1,420.0,salaried,0.0,1.0,4.0,1,3.0,1,0,4,1,268830.0,0,0,1,1
45.0,1.0,1,,smallbusiness,1.0,1.0,3.0,3,3.0,年に6回,0,4,2,,0,1,1,1
44.0,0.0,2,480.0,smallbusiness,0.0,1.0,3.0,1,3.0,5,0,4,1,259755.0,0,1,1,1
45.0,1.0,2,960.0,smallbusiness,0.0,1.0,3.0,4,3.0,3,0,4,4,400000.0,0,0,1,0
30.0,1.0,1,540.0,smallbusiness,0.0,1.0,3.0,1,3.0,1,0,4,1,250000.0,1,0,1,1
31.0,0.0,1,1320.0,smallbusiness,0.0,1.0,4.0,1,3.0,4,0,3,1,263415.0,1,0,0,0
47.0,0.0,1,1440.0,largebusiness,0.0,1.0,3.0,1,3.0,4,0,5,1,257640.0,0,0,1,0
43.0,1.0,3,1020.0,smallbusiness,0.0,1.0,3.0,1,3.0,2,0,4,1,300000.0,0,1,1,1
50.0,1.0,1,660.0,smallbusiness,1.0,1.0,3.0,4,3.0,1,0,4,4,433905.0,0,1,1,0
32.0,1.0,1,1380.0,smallbusiness,0.0,1.0,3.0,3,3.0,2,0,4,2,297780.0,1,0,1,1
31.0,1.0,1,960.0,smallbusiness,0.0,1.0,3.0,3,3.0,2,0,4,2,258900.0,1,0,1,1
20.0,1.0,1,960.0,smallbusiness,1.0,1.0,3.0,1,3.0,2,0,3,1,253005.0,1,1,0,1
28.0,0.0,2,600.0,smallbusiness,1.0,1.0,3.0,3,3.0,年に4回,0,4,2,300000.0,1,0,1,1
56.0,0.0,2,600.0,smallbusiness,0.0,1.0,3.0,5,4.0,年に6回,0,5,5,468705.0,0,1,1,1
39.0,1.0,3,900.0,smallbusiness,1.0,1.0,4.0,2,3.0,5,0,3,3,442155.0,1,0,1,1
38.0,1.0,1,600.0,smallbusiness,1.0,1.0,3.0,1,3.0,年に1回,0,4,1,263940.0,1,0,1,1
36.0,1.0,1,960.0,largebusiness,0.0,1.0,3.0,1,4.0,年に1回,0,3,1,300000.0,1,0,1,1
39.0,1.0,2,540.0,largebusiness,1.0,1.0,3.0,1,3.0,1,0,3,1,256410.0,1,0,1,1
,1.0,1,1080.0,smallbusiness,0.0,1.0,3.0,1,4.0,2,0,4,1,259410.0,0,0,1,1
